case_no,date_opened,subtype,date_closed,assigned_to,site_address,parcel_no,owner,resident,status,violation_description
RENT1703-058,2017-03-22,VIOLATIONS,2017-06-05,MARY EMRICK,27 JANWALL COURT,020622090052834,,,CLOSED,BATHROOM VENT FAN
RENT1703-038,2017-03-15,VIOLATIONS,2017-04-26,ADAM KNIGHT,23 CORNHILL STREET,020600004827200,,,CLOSED,Rental Inspection
RENT1703-065,2017-03-29,VIOLATIONS,2017-04-28,MARY EMRICK,1115 CEDAR RIDGE COURT,020610501272784,,,CLOSED,KITCHEN OUTLETS AT SINK
RENT1703-013,2017-03-02,VIOLATIONS,2018-12-20,ADAM KNIGHT,6 PRESIDENT POINT DRIVE A-2,020669090000829,,,CLOSED,RENTAL INSPECTION
RENT1703-040,2017-03-16,VIOLATIONS,2017-05-22,MARY EMRICK,1015 KENSINGTON WAY,020698190016774,,,CLOSED,EXTERIOR DORMERS - PAINT
RENT1703-020,2017-03-06,VIOLATIONS,2017-03-22,JEANNETTE ROEDER,37 GENTRY COURT,020626990009942,,,CLOSED,MASTER BEDROOM CEILING LIGHT/OLD SMOKES
RENT1703-019,2017-03-06,VIOLATIONS,2017-03-28,MARY EMRICK,24 FLEET ST,020600003361400,,,CLOSED,UNLICENSED RENTAL UNIT
RENT1703-018,2017-03-06,VIOLATIONS,2017-07-20,ADAM KNIGHT,157 WILLIAMS DR,020601001354090,,,CLOSED,Rental Inspection
RENT1703-017,2017-03-06,VIOLATIONS,2017-03-14,ADAM KNIGHT,62 GENTRY CT,020626990009981,,,CLOSED,Rental Inspection
RENT1703-016,2017-03-05,VIOLATIONS,2017-03-06,MARY EMRICK,39 ROCKWELL COURT,020666190029489,,,CLOSED,HANDRAIL INTERIOR/BATHROOM FAN
RENT1703-022,2017-03-06,VIOLATIONS,2017-03-31,ADAM KNIGHT,1007 SMITHVILLE STREET**,020600006431650,,,CLOSED,Rental Inspection
RENT1703-014,2017-03-05,VIOLATIONS,2017-04-10,MARY EMRICK,1108 FOREST DR,020600006771500,,,CLOSED,EXTERIOR FOUNDATION AND SIDING
RENT1703-023,2017-03-06,VIOLATIONS,2018-04-09,ADAM KNIGHT,603 SKIPJACK CT,020661090015052,,,CLOSED,"(3/7/2018 2:17 PM LNS)
REAR DECK THAT WAS BLOCKING ACCESS TO AN ILLEGAL BASEMENT BEDROOM. FIRST NOTIFICATION WAS GIVEN 3/6/2017"
RENT1703-023,2017-03-06,VIOLATIONS,2018-04-09,ADAM KNIGHT,603 SKIPJACK CT,020661090015052,,,CLOSED,"(3/7/2018 2:17 PM LNS)
REAR DECK THAT WAS BLOCKING ACCESS TO AN ILLEGAL BASEMENT BEDROOM. FIRST NOTIFICATION WAS GIVEN 3/6/2017"
RENT1703-012,2017-03-01,VIOLATIONS,2018-10-22,JEANNETTE ROEDER,114 BRIGHTWATER DR,020602590089957,,,CLOSED,EXTERIOR ENTRANCE/LIVING ROOM LEAK/DECK RAILS
RENT1703-011,2017-03-01,VIOLATIONS,2017-05-04,MARY EMRICK,290 HILLTOP LN Q,020680304343929,,,CLOSED,SMOKE DETECTORS
RENT1703-010,2017-03-01,VIOLATIONS,2017-05-02,ADAM KNIGHT,1919 VINCENT STREET,020655103061000,,,CLOSED,RENTAL INSPECTION
RENT1703-009,2017-03-01,VIOLATIONS,2017-04-13,ADAM KNIGHT,77 SOUTHGATE AVE,020697290236018,,,CLOSED,RENTAL INSPECTION
RENT1703-008,2017-03-01,VIOLATIONS,2017-10-16,ADAM KNIGHT,171 KING GEORGE ST,020600003324703,,,CLOSED,RENTAL INSPECTION
RENT1710-030,2017-10-24,VIOLATIONS,2017-11-14,MARY EMRICK,23 JEREMYS WAY,020649790007568,,,CLOSED,CRM - Unlicensed Rental
RENT1703-015,2017-03-05,VIOLATIONS,2017-04-11,MARY EMRICK,2 THORN CT,020669504341600,,,CLOSED,CONCRETE PORCH PAD
RENT1703-030,2017-03-09,VIOLATIONS,2017-11-17,ADAM KNIGHT,214 PRINCE GEORGE ST,020600002801452,,,CLOSED,Rental Inspection
RENT1704-004,2017-04-04,VIOLATIONS,2017-04-28,JEANNETTE ROEDER,512 ANNAPOLITAN LANE,020602590089896,,,CLOSED,CEILING VENT DEFECTIVE
RENT1703-037,2017-03-14,VIOLATIONS,2017-03-29,MARY EMRICK,1071 CEDAR RIDGE COURT,020610501272804,,,CLOSED,SMOKE DETECTOR FIRST FLOOR
RENT1703-036,2017-03-13,VIOLATIONS,2017-10-23,MARY EMRICK,93 SHIPWRIGHT ST,020600008843800,,,CLOSED,"ILLEGAL RENTAL, NO RECORD OF LICENSE."
RENT1703-036,2017-03-13,VIOLATIONS,2017-10-23,MARY EMRICK,93 SHIPWRIGHT ST,020600008843800,,,CLOSED,"ILLEGAL RENTAL, NO RECORD OF LICENSE."
RENT1703-035,2017-03-13,VIOLATIONS,2017-05-05,ADAM KNIGHT,99 MONTICELLO AVE,020600001062000,,,CLOSED,Rental Inspection
RENT1703-034,2017-03-13,VIOLATIONS,2017-06-06,ADAM KNIGHT,22 MURRAY AVE,020600002385600,,,CLOSED,Rental INspection
RENT1703-033,2017-03-13,VIOLATIONS,2017-05-01,MARY EMRICK,1319 COLONY DRIVE,020611090000541,,,CLOSED,INTERIOR HANDRAILS ON STAIRS
RENT1703-021,2017-03-06,VIOLATIONS,2017-04-03,JEANNETTE ROEDER,911 POPLAR AVENUE,020600090022530,,,CLOSED,2ND FLOOR BATHROOM GFCI
RENT1703-031,2017-03-10,VIOLATIONS,2017-05-09,MARY EMRICK,WESTWINDS APARTMENTS I & II,,,,CLOSED,MULTIPLE VIOLATIONS
RENT1703-039,2017-03-16,VIOLATIONS,2017-05-22,MARY EMRICK,1000 KENSINGTON WAY,020698190009743,,,CLOSED,EXTERIOR PAINTING
RENT1703-029,2017-03-08,VIOLATIONS,2017-06-28,ADAM KNIGHT,3-A-1 SPA CREEK LANDING,020680990035343,,,CLOSED,Rental Inspection
RENT1703-028,2017-03-08,VIOLATIONS,2017-07-28,ADAM KNIGHT,407 CHESAPEAKE AVENUE,020600090013606,,,CLOSED,Rental Inspection
RENT1703-027,2017-03-08,VIOLATIONS,2017-03-27,MARY EMRICK,17 SILVERWOOD CIR #2,020621290018368,,,CLOSED,WATER DAMAGE BATHROOMS/KITCHEN STOVE/CO DETECTOR
RENT1703-026,2017-03-08,VIOLATIONS,2017-05-25,MARY EMRICK,906 ROYAL ST H,020600090007353,,,CLOSED,"NICOLE KELLY IS THE CAREGIVER FOR GENE PREWITT.  HE HAS BEEN OVERCOME WITH A ROACH INFESTATION.  THE MANAGEMENT OFFICE REFUSES TO RESPOND.  THEY HAVE TREATED AND KILLED SOME OF THE ROACHES, BUT THEY ARE STILL THERE.  MR. PREWITT'S LAWYER SUGGESTED THEY CALL US FOR RESPONSE."
RENT1703-026,2017-03-08,VIOLATIONS,2017-05-25,MARY EMRICK,906 ROYAL ST H,020600090007353,,,CLOSED,"NICOLE KELLY IS THE CAREGIVER FOR GENE PREWITT.  HE HAS BEEN OVERCOME WITH A ROACH INFESTATION.  THE MANAGEMENT OFFICE REFUSES TO RESPOND.  THEY HAVE TREATED AND KILLED SOME OF THE ROACHES, BUT THEY ARE STILL THERE.  MR. PREWITT'S LAWYER SUGGESTED THEY CALL US FOR RESPONSE."
RENT1703-025,2017-03-07,VIOLATIONS,2017-03-21,MARY EMRICK,331 ATWATER DRIVE,020602590089901,,,CLOSED,KITCHEN CABINETS/CARPETING/PAINTING/SMOKES
RENT1703-024,2017-03-07,VIOLATIONS,2017-04-06,JEANNETTE ROEDER,22 HERITAGE CT,020636090028560,,,CLOSED,"SCREEN, GFCI IN BATHROOM"
RENT1703-032,2017-03-13,VIOLATIONS,2017-06-05,MARY EMRICK,762-D FAIRVIEW AVEVUE,020680590026928,,,CLOSED,SMOKE DETECTORS/VENTS
RENT1704-045,2017-04-26,VIOLATIONS,2017-05-15,JEANNETTE ROEDER,80 HERITAGE CT,020636090028525,,,CLOSED,"KITCHEN, BATH - CABINETS, OUTLETS"
RENT1705-002,2017-05-02,VIOLATIONS,2017-05-30,JEANNETTE ROEDER,13 BREWER AVE**,020600005363625,,,CLOSED,SCREENS. LIGHT FIXTURES
RENT1705-001,2017-05-02,VIOLATIONS,2017-05-24,MARY EMRICK,15 LANDINGS COURT,020681790039992,,,CLOSED,SMOKE DETECTORS/DRYWALL IN BASEMENT
RENT1704-050,2017-04-28,VIOLATIONS,2017-05-10,MARY EMRICK,921 TYLER AVE**,020600004580800,,,CLOSED,OVERGROWTH
RENT1704-049,2017-04-28,VIOLATIONS,2017-05-10,MARY EMRICK,19 SILOPANNA RD,020682904099300,,,CLOSED,Overgrowth
RENT1704-049,2017-04-28,VIOLATIONS,2017-05-10,MARY EMRICK,19 SILOPANNA RD,020682904099300,,,CLOSED,Overgrowth
RENT1704-048,2017-04-28,VIOLATIONS,2017-06-15,MARY EMRICK,1013 CEDAR RIDGE CT,020610501272706,,,CLOSED,STAIRS
RENT1704-002,2017-04-03,VIOLATIONS,2017-05-11,JEANNETTE ROEDER,118 BRIGHTWATER DR,020602590089959,,,CLOSED,Bathroom Ceiling - Mold/Mildew
RENT1704-046,2017-04-26,VIOLATIONS,2017-05-15,JEANNETTE ROEDER,82 HERITAGE CT,020636090028524,,,CLOSED,OVERCROWDING
RENT1705-005,2017-05-04,VIOLATIONS,2017-06-29,ADAM KNIGHT,69 CONDUIT ST,020600009151100,,,CLOSED,Rental Inspection
RENT1704-044,2017-04-26,VIOLATIONS,2017-06-01,JEANNETTE ROEDER,41 HERITAGE CT,020636090028585,,,CLOSED,"LAUNDRY ROOM CEILING, DEFECTIVE"
RENT1704-043,2017-04-26,VIOLATIONS,2017-05-09,MARY EMRICK,1012 VAN BUREN ST,020600001633950,,,CLOSED,"OVERGROWTH, TREE LIMB & DEBRIS"
RENT1704-042,2017-04-26,VIOLATIONS,2017-06-08,MARY EMRICK,23 WINSLOW CT,020666190025546,,TENANT,CLOSED,MIDDLE BEDROOM SMOKE DETECTOR
RENT1704-041,2017-04-25,VIOLATIONS,2017-05-22,MARY EMRICK,1240-B GEMINI DR**,020680304343988,,,CLOSED,MULTIPLE VIOLATIONS
RENT1704-040,2017-04-24,VIOLATIONS,2017-05-15,JEANNETTE ROEDER,20 HERITAGE CT,020636090028561,,,CLOSED,"LIVING ROOM - CEILING - REPAIR, PAINT"
RENT1704-039,2017-04-24,VIOLATIONS,2017-06-08,JEANNETTE ROEDER,12 HERITAGE CT,020636090028545,,,CLOSED,NO ELECTRICITY
RENT1704-047,2017-04-28,VIOLATIONS,2017-05-11,MARY EMRICK,2003 BAY RIDGE AVE,020695500136500,,,CLOSED,Overgrowth and a vehicle located in the back yard.
RENT1704-047,2017-04-28,VIOLATIONS,2017-05-11,MARY EMRICK,2003 BAY RIDGE AVE,020695500136500,,,CLOSED,Overgrowth and a vehicle located in the back yard.
RENT1705-011,2017-05-08,VIOLATIONS,2017-05-25,JEANNETTE ROEDER,1302 LLOYD CT,020633004340500,,,CLOSED,OUTLETS
RENT1705-019,2017-05-09,VIOLATIONS,2017-10-23,MARY EMRICK,5 SILVERWOOD CIR 5,020621290018297,,,CLOSED,ILLEGAL RENTAL UNIT
RENT1705-018,2017-05-09,VIOLATIONS,2017-11-14,MARY EMRICK,5 SILVERWOOD CIR 3,020621290018295,,,CLOSED,ILLEGAL RENTAL UNIT
RENT1705-017,2017-05-09,VIOLATIONS,2017-05-26,MARY EMRICK,290 HILLTOP LN H,020680304343923,,,CLOSED,ILLEGAL RENTAL UNIT
RENT1705-016,2017-05-09,VIOLATIONS,2017-05-10,MARY EMRICK,280 HILLTOP LN N,020680303864053,,,CLOSED,ILLEGAL RENTAL UNIT
RENT1705-015,2017-05-09,VIOLATIONS,2017-11-14,MARY EMRICK,280 HILLTOP LN L,020680305697000,,"415 SEVERN AVENUE LL,",CLOSED,ILLEGAL RENTAL UNIT
RENT1705-014,2017-05-09,VIOLATIONS,2017-07-19,MARY EMRICK,1240 GEMINI DR E,020680306977200,,,CLOSED,ILLEGAL RENTAL UNIT
RENT1705-003,2017-05-03,VIOLATIONS,2017-05-10,MARY EMRICK,2251 BAY RIDGE ROAD,020600090044728,,,CLOSED,OVERGROWTH
RENT1705-012,2017-05-09,VIOLATIONS,2017-06-30,MARY EMRICK,1200 GEMINI DR K,020680304343945,,,CLOSED,ILLEGAL RENTAL UNIT
RENT1705-004,2017-05-03,VIOLATIONS,2017-06-06,ADAM KNIGHT,187 PRINCE GEORGE ST,020600002048200,,,CLOSED,Rental Inspection
RENT1705-010,2017-05-08,VIOLATIONS,2017-06-16,MARY EMRICK,17 GEORGETOWN COURT,020621290018137,,,CLOSED,SMOKE DETECTORS - ELECTRIC REQUIRED
RENT1705-009,2017-05-08,VIOLATIONS,2017-07-21,MARY EMRICK,ANNAPOLIS ROADS APARTMENTS,,,,CLOSED,APTS - MULTIPLE VIOLATIONS
RENT1705-008,2017-05-05,VIOLATIONS,2017-07-03,JEANNETTE ROEDER,625 TRIPP CREEK COURT,020661090087272,,,CLOSED,"OVERCROWDING, TRASH"
RENT1705-007,2017-05-04,VIOLATIONS,2017-09-08,ADAM KNIGHT,181 PRINCE GEORGE ST,020600000323750,,,CLOSED,Rental Inspection
RENT1705-006,2017-05-04,VIOLATIONS,2017-06-27,ADAM KNIGHT,95 EAST ST,020600004593440,,,CLOSED,Rental Inspection
RENT1704-036,2017-04-20,VIOLATIONS,2017-08-02,ADAM KNIGHT,770 FAIRVIEW AVE E,020680590026884,,,CLOSED,Rental Inspection
RENT1705-013,2017-05-09,VIOLATIONS,2017-05-22,MARY EMRICK,1230 GEMINI DR E,020680304343975,,,CLOSED,ILLEGAL RENTAL
RENT1704-011,2017-04-07,VIOLATIONS,2017-05-09,MARY EMRICK,190 WOODS DR,020681507418000,,,CLOSED,HALLWAY BATHROOM WALL & KITCHEN FAUCET
RENT1704-038,2017-04-24,VIOLATIONS,2017-05-17,JEANNETTE ROEDER,760-C FAIRVIEW AVE**,020680590026921,,,CLOSED,"OUTLETS, BATH & KITCHEN"
RENT1704-018,2017-04-10,VIOLATIONS,2017-09-07,JEANNETTE ROEDER,215 TAYLOR AVE,020600090035120,,,CLOSED,"INTERIOR WALLS, CRACKS"
RENT1704-017,2017-04-10,VIOLATIONS,2017-05-05,JEANNETTE ROEDER,614 TRIPP CREEK CT,020661090087283,,,CLOSED,"EXTERIOR - TRASH, FLAKING PAINT, STAIRS"
RENT1704-016,2017-04-10,VIOLATIONS,2017-06-01,JEANNETTE ROEDER,1220 STERLING DR,020611203465500,,,CLOSED,BASEMENT HANDRAIL - LOOSE
RENT1704-015,2017-04-10,VIOLATIONS,2017-06-01,JEANNETTE ROEDER,814 BOUCHER AVE,020600007682000,,,CLOSED,UNIT A - GFCI - NO POWER
RENT1704-014,2017-04-10,VIOLATIONS,2017-04-28,JEANNETTE ROEDER,798-E FAIRVIEW AVENUE,020680590026813,,,CLOSED,cover plates throughout
RENT1704-020,2017-04-10,VIOLATIONS,2017-06-02,JEANNETTE ROEDER,20 SPINDRIFT WAY,020681290018763,,,CLOSED,"LIGHT FIXTURE, OUTLETS"
RENT1704-012,2017-04-07,VIOLATIONS,2017-05-09,MARY EMRICK,620 AMERICANA DR T10,020600001557519,,,CLOSED,OVERCROWDING/GRILLS AND DEBRIS ON PATIO
RENT1704-021,2017-04-10,VIOLATIONS,2017-08-01,JEANNETTE ROEDER,27-1/2 HICKS AVENUE** REAR,020600002139200,,,CLOSED,"EXTERIOR - TRASH, DEBRIS"
RENT1704-010,2017-04-06,VIOLATIONS,2017-04-27,JEANNETTE ROEDER,1778 BELLE DR B,020628705249520,,,CLOSED,"OVERCROWDING, GFCI"
RENT1704-009,2017-04-06,VIOLATIONS,2017-04-28,JEANNETTE ROEDER,107 BRIGHTWATER DRIVE,020602590090000,,,CLOSED,"GFCI, OVERCROWDING"
RENT1704-008,2017-04-06,VIOLATIONS,2017-05-08,JEANNETTE ROEDER,24 CARVER STREET,020600090101545,,,CLOSED,"(4/6/2017 9:06 AM JR)
violations attached under license trak"
RENT1704-008,2017-04-06,VIOLATIONS,2017-05-08,JEANNETTE ROEDER,24 CARVER STREET,020600090101545,,,CLOSED,"(4/6/2017 9:06 AM JR)
violations attached under license trak"
RENT1704-007,2017-04-04,VIOLATIONS,,,24 CARVER STREET,,,,,
RENT1704-006,2017-04-04,VIOLATIONS,2017-04-28,JEANNETTE ROEDER,111 BRIGHTWATER DRIVE,020602590089998,,,CLOSED,OVERCROWDING
RENT1704-005,2017-04-04,VIOLATIONS,2017-04-28,JEANNETTE ROEDER,515 ANNAPOLITAN LN,020602590089948,,,CLOSED,"OVERCROWDING, GFCI"
RENT1704-013,2017-04-07,VIOLATIONS,2017-05-05,ADAM KNIGHT,30 RANDALL ST,020600007316700,,,CLOSED,Rental Inspection
RENT1704-028,2017-04-11,VIOLATIONS,2018-05-24,MARY EMRICK,5 PARK LN,020600004845900,,,CLOSED,ILLEGAL RENTAL UNIT
RENT1703-005,2017-03-01,VIOLATIONS,2017-05-05,JEANNETTE ROEDER,674 GREENBRIAR LN,020628701697059,,,CLOSED,STORAGE IN REAR YARD AREA
RENT1704-035,2017-04-20,VIOLATIONS,2017-05-08,JEANNETTE ROEDER,1304 HAWKINS LN,020633001979370,,,CLOSED,Trash all over the rear yard.
RENT1704-035,2017-04-20,VIOLATIONS,2017-05-08,JEANNETTE ROEDER,1304 HAWKINS LN,020633001979370,,,CLOSED,Trash all over the rear yard.
RENT1704-034,2017-04-19,VIOLATIONS,2017-05-16,ADAM KNIGHT,218 KING GEORGE ST,020600003726805,,,CLOSED,Rental Inspection
RENT1704-033,2017-04-19,VIOLATIONS,2017-05-01,MARY EMRICK,1981 DOMINOE RD,020678990009076,,,CLOSED,ILLEGAL DUMPING OF YARDWASTE
RENT1704-032,2017-04-19,VIOLATIONS,2017-05-01,MARY EMRICK,1987 DOMINOE RD,020678990009074,,,CLOSED,ILLEGAL RENTAL AND ILLEGAL DUMPING
RENT1704-031,2017-04-17,VIOLATIONS,2017-05-17,JEANNETTE ROEDER,1017 JACKSON ST,020600006297200,,,CLOSED,OVERCROWDING
RENT1704-019,2017-04-10,VIOLATIONS,2017-05-02,JEANNETTE ROEDER,10 HERITAGE CT,020636090028546,,,CLOSED,"BATHROOM - COMBO GFCI, LIGHT SWITCH"
RENT1704-029,2017-04-11,VIOLATIONS,2017-05-24,MARY EMRICK,7 PARK LN,020600007473250,,,CLOSED,ILLEGAL RENTAL UNITS
RENT1704-037,2017-04-21,VIOLATIONS,2017-05-03,MARY EMRICK,1611 VIRGINIA ST,020655190023803,,,CLOSED,Burned couch in driveway.  Also possible rental.
RENT1704-037,2017-04-21,VIOLATIONS,2017-05-03,MARY EMRICK,1611 VIRGINIA ST,020655190023803,,,CLOSED,Burned couch in driveway.  Also possible rental.
RENT1704-027,2017-04-11,VIOLATIONS,2017-05-24,MARY EMRICK,3 PARK LN,020600000089074,,,CLOSED,ILLEGAL RENTAL UNIT
RENT1704-026,2017-04-11,VIOLATIONS,2017-05-15,JEANNETTE ROEDER,35 HICKS AVENUE,020600004138400,,,CLOSED,"WINDOW SCREEN, TRASH, COVER PLATE"
RENT1704-025,2017-04-11,VIOLATIONS,2017-05-05,JEANNETTE ROEDER,1920 VINCENT ST,020600090222589,,,CLOSED,"DOOR LOCKS, LIGHT FIXTURE, CEILING"
RENT1704-024,2017-04-11,VIOLATIONS,2017-07-07,MARY EMRICK,98 SILOPANNA RD,020682900096700,,,CLOSED,MULTIPLE VIOLATIONS
RENT1704-023,2017-04-10,VIOLATIONS,2017-06-08,JEANNETTE ROEDER,4 BUNCHE STREET,020600008594600,,,CLOSED,"MOLD/MILDEW, DRYER VENT"
RENT1704-022,2017-04-10,VIOLATIONS,2017-08-01,JEANNETTE ROEDER,27 HICKS AVENUE** FRONT,020600002139200,,,CLOSED,OVERCROWDING
RENT1704-030,2017-04-17,VIOLATIONS,2017-05-15,JEANNETTE ROEDER,794-F FAIRVIEW AVE,020680590026825,,,CLOSED,BATHROOM - GFCI
RENT1701-035,2017-01-17,VIOLATIONS,2017-02-01,HENRY GUTIERREZ,1319 MCKINLEY ST,020611202725900,,,CLOSED,plumbing issues/ceiling tiles
RENT1701-043,2017-01-19,VIOLATIONS,2017-07-21,ADAM KNIGHT,156 GREEN STREET,020600090027497,,,CLOSED,Rental Inspection
RENT1701-042,2017-01-19,VIOLATIONS,2017-09-06,ADAM KNIGHT,6 UNION ST,020600000281200,,,CLOSED,Rental Inspection
RENT1701-040,2017-01-19,VIOLATIONS,2017-02-21,ADAM KNIGHT,51 MARYLAND AVE -1/2,,,,CLOSED,Rental Inspection
RENT1701-039,2017-01-17,VIOLATIONS,2017-03-16,MARY EMRICK,7 PETERS WAY,020628790078636,,,CLOSED,SMOKE DETECTORS THROUGHOUT
RENT1701-061,2017-01-31,VIOLATIONS,2017-02-26,MARY EMRICK,204 CLAUDE ST,020697003819300,,,CLOSED,MASTER BEDROOM CEILING/HOT WATER HEATER
RENT1701-036,2017-01-17,VIOLATIONS,2017-03-30,MARY EMRICK,942 CREEK DRIVE,020600002798600,,,CLOSED,"SMOKE DETECTOR IN BEDROOM, ETC"
RENT1701-046,2017-01-19,VIOLATIONS,2017-08-02,ADAM KNIGHT,4 KING CHARLES PLACE,020600004547203,,,CLOSED,Rental Inspection
RENT1701-034,2017-01-17,VIOLATIONS,2017-02-13,HENRY GUTIERREZ,774-E FAIRVIEW AVE,020680590026895,,,CLOSED,POOR HOUSEKEEPING/FAUCET BATHROOM/DOOR
RENT1701-033,2017-01-17,VIOLATIONS,2017-05-22,MARY EMRICK,1212 TYLER AVE,020600004440125,,,CLOSED,ENTRANCE DOOR DEFECTIVE
RENT1701-032,2017-01-17,VIOLATIONS,2017-02-22,MARY EMRICK,1239 TYLER AVENUE,020600009132565,,,CLOSED,MULTIPLE VIOLATIONS
RENT1701-031,2017-01-13,VIOLATIONS,2017-02-16,MARY EMRICK,3 ELLIOTT RD,020600004812570,,,CLOSED,SMOKE DETECTORS - LOW BATTERY CHIRP
RENT1701-030,2017-01-13,VIOLATIONS,2017-05-02,ADAM KNIGHT,53 SPA RD,020600005945735,,,CLOSED,Rental Inspection
RENT1701-029,2017-01-13,VIOLATIONS,2017-02-14,MARY EMRICK,8 EDELMAR DR,020684002765300,,,CLOSED,STOVE DEFECTIVE/HOT WATER HEATER
RENT1701-037,2017-01-17,VIOLATIONS,2017-02-08,HENRY GUTIERREZ,290 LOCUST AVE,020600003812705,,,CLOSED,OVERCROWDING IN BASEMENT
RENT1701-052,2017-01-25,VIOLATIONS,2017-03-05,MARY EMRICK,1176-1/2 TYLER AVENUE,,,,CLOSED,GAS ODOR IN HOUSE/HOT WATER HEATER FLUE PIPE
RENT1703-007,2017-03-01,VIOLATIONS,2017-03-31,ADAM KNIGHT,34 PLEASANT ST,020600006413450,,,CLOSED,RENTAL INSPECTION
RENT1701-059,2017-01-31,VIOLATIONS,2017-02-07,MARY EMRICK,2005 BAY RIDGE AVE,020695509083400,,,CLOSED,FRONT STORM DOOR
RENT1701-058,2017-01-31,VIOLATIONS,2017-03-01,MARY EMRICK,205 VICTOR PKWY H,020621290018196,,,CLOSED,MASTER BATHROOM FAUCET
RENT1701-057,2017-01-31,VIOLATIONS,2017-03-15,MARY EMRICK,914 BETHANY COURT**,020605807314003,,,CLOSED,ELECTRIC SMOKE DETECTORS/OVERCROWDING
RENT1701-056,2017-01-30,VIOLATIONS,2017-03-07,MARY EMRICK,211-B VICTOR PARKWAY,020621290018162,,,CLOSED,OVERCROWDING
RENT1701-055,2017-01-30,VIOLATIONS,2017-02-17,MARY EMRICK,11 SILVERWOOD CIR 1,020621290018331,,,CLOSED,SEWER BACKUP IN KITCHEN SINK AREA
RENT1701-044,2017-01-19,VIOLATIONS,2017-03-10,MARY EMRICK,60 SANDSTONE CT A,020601890087119,,,CLOSED,ENTRANCE DOOR LOCK/HANDLE
RENT1701-053,2017-01-25,VIOLATIONS,2017-02-13,HENRY GUTIERREZ,100 LOUIS DRIVE,020625701482800,,,CLOSED,CO DETECTOR AND HOUSE NUMBERS
RENT1701-045,2017-01-19,VIOLATIONS,2017-02-21,ADAM KNIGHT,37 WATER STREET,020610690029945,,,CLOSED,Rental Inspection
RENT1701-051,2017-01-25,VIOLATIONS,2017-07-24,MARY EMRICK,215-F VICTOR PARKWAY,020621290018154,,,CLOSED,OVERCROWDING
RENT1701-050,2017-01-24,VIOLATIONS,2017-03-01,MARY EMRICK,211-B VICTOR PARKWAY,020621290018162,,,CLOSED,ILLEGAL BEDROOM IN DININGROOM AREA
RENT1701-049,2017-01-23,VIOLATIONS,2017-02-21,ADAM KNIGHT,23 FRANCIS STREET,020600006924400,,,CLOSED,Rental INspection
RENT1701-048,2017-01-20,VIOLATIONS,2019-02-19,ADAM KNIGHT,181 CLAY STREET,020600003852805,,,CLOSED,Rental Inspection
RENT1701-047,2017-01-19,FAILURE TO OBTAIN,2018-10-18,JOHN MENASSA,210 CLAUDE ST,020697007403200,,,CLOSED,Unlicensed rental
RENT1701-026,2017-01-13,VIOLATIONS,2017-02-14,ADAM KNIGHT,165 KING GEORGE ST,020600004399350,,,CLOSED,Rental Inspection
RENT1701-054,2017-01-30,VIOLATIONS,2017-07-27,MARY EMRICK,1410 TYLER AVE,020600000142124,,,CLOSED,MOLD & MILDEW THROUGHOUT UNIT CAUSING RESPIRATORY AND OTHER ISSUES.  HOUSING AUTHORITY IS NOT RESPONDING.
RENT1701-054,2017-01-30,VIOLATIONS,2017-07-27,MARY EMRICK,1410 TYLER AVE,020600000142124,,,CLOSED,MOLD & MILDEW THROUGHOUT UNIT CAUSING RESPIRATORY AND OTHER ISSUES.  HOUSING AUTHORITY IS NOT RESPONDING.
RENT1701-001,2017-01-03,VIOLATIONS,2017-10-09,MARY EMRICK,1311 WEST STREET,020600002802500,,,CLOSED,KITCHEN GFCI
RENT1701-028,2017-01-13,VIOLATIONS,2017-02-22,MARY EMRICK,108 CONLEY DR,020684590000759,,,CLOSED,FAILURE TO OBTAIN RENTAL OPERATING LICENSE
RENT1701-008,2017-01-03,VIOLATIONS,2017-03-07,HENRY GUTIERREZ,79 HERITAGE CT,020636090028516,,,CLOSED,MULTIPLE VIOLATIONS
RENT1701-007,2017-01-03,VIOLATIONS,2017-01-26,HENRY GUTIERREZ,435 MERRYMAN ROAD,020636090028539,,,CLOSED,1ST FLOOR SMOKE DETECTOR
RENT1701-006,2017-01-03,VIOLATIONS,2017-02-22,HENRY GUTIERREZ,600 BURNSIDE ST,020600006790700,,,CLOSED,MULTIPLE VIOLATIONS
RENT1701-005,2017-01-03,VIOLATIONS,2017-01-18,HENRY GUTIERREZ,514 FIFTH ST,020600001016800,,,CLOSED,SMOKE DETECTOR/NO ENTRY
RENT1701-004,2017-01-03,VIOLATIONS,2017-05-08,JEANNETTE ROEDER,616 GREENBRIAR LN,020628701697037,,,CLOSED,BASEMENT ELECTRICAL OUTLET
RENT1701-010,2017-01-03,VIOLATIONS,2017-07-26,ADAM KNIGHT,1200 1/2 VAN BUREN ST,020611290071240,,,CLOSED,Rental Inspection
RENT1701-011,2017-01-03,VIOLATIONS,2018-08-23,MARY EMRICK,210-E VICTOR PARKWAY,020682707672800,,,CLOSED,(8/21/2018 10:25 AM jr)
RENT1701-011,2017-01-03,VIOLATIONS,2018-08-23,MARY EMRICK,210-E VICTOR PARKWAY,020682707672800,,,CLOSED,(8/21/2018 10:25 AM jr)
RENT1701-011,2017-01-03,VIOLATIONS,2018-08-23,MARY EMRICK,210-E VICTOR PARKWAY,020682707672800,,,CLOSED,(8/21/2018 10:25 AM jr)
